"simulation","method","accuracy","prob_accuracy","tree_size"
113,"ACE",0.648936170212766,0.626494645341398,565
113,"SIMMAP",0.656028368794326,0.645106382978723,565
113,"SAASI",0.911347517730496,0.891867209706567,565
113,"SAASI_pars",0.890070921985816,0.852879410470226,565
113,"PastML",0.673758865248227,0.680396566396418,565
113,"TreeTime_1.0",0.673758865248227,0.680626640032913,565
113,"TreeTime_Custom",0.673758865248227,0.664564853049863,565
114,"ACE",0.552,0.569858160188166,501
114,"SIMMAP",0.58,0.59012,501
114,"SAASI",0.94,0.91433598609702,501
114,"SAASI_pars",0.892,0.793632667673436,501
114,"PastML",0.536,0.57213496922601,501
114,"TreeTime_1.0",0.544,0.565293241196524,501
114,"TreeTime_Custom",0.548,0.544033751497995,501
115,"ACE",0.790393013100437,0.725149222832281,459
115,"SIMMAP",0.825327510917031,0.73589519650655,459
115,"SAASI",0.978165938864629,0.944654938202277,459
115,"SAASI_pars",0.956331877729258,0.882452214411697,459
115,"PastML",0.807860262008734,0.742042187798022,459
115,"TreeTime_1.0",0.951965065502183,0.881579540116925,459
115,"TreeTime_Custom",0.943231441048035,0.922733998774718,459
116,"ACE",0.545454545454545,0.556556163313875,485
116,"SIMMAP",0.62396694214876,0.585247933884298,485
116,"SAASI",0.909090909090909,0.889814124175874,485
116,"SAASI_pars",0.900826446280992,0.786464307779213,485
116,"PastML",0.566115702479339,0.580763451062624,485
116,"TreeTime_1.0",0.648760330578512,0.63255730980393,485
116,"TreeTime_Custom",0.466942148760331,0.491895144255135,485
117,"ACE",0.647302904564315,0.637489056003084,483
117,"SIMMAP",0.684647302904564,0.658879668049793,483
117,"SAASI",0.925311203319502,0.903159761754239,483
117,"SAASI_pars",0.892116182572614,0.813628628599222,483
117,"PastML",0.672199170124481,0.666145368851974,483
117,"TreeTime_1.0",0.676348547717842,0.676078586517854,483
117,"TreeTime_Custom",0.70954356846473,0.730926378937178,483
118,"ACE",0.65,0.596131147903679,401
118,"SIMMAP",0.64,0.60575,401
118,"SAASI",0.92,0.902397963379159,401
118,"SAASI_pars",0.935,0.822456495392507,401
118,"PastML",0.685,0.630967112992685,401
118,"TreeTime_1.0",0.715,0.658370224768801,401
118,"TreeTime_Custom",0.6,0.614242119472454,401
119,"ACE",0.704166666666667,0.635337853514276,481
119,"SIMMAP",0.716666666666667,0.632166666666667,481
119,"SAASI",0.8875,0.872764159984286,481
119,"SAASI_pars",0.891666666666667,0.790754992115954,481
119,"PastML",0.725,0.651425363712797,481
119,"TreeTime_1.0",0.75,0.693984721629495,481
119,"TreeTime_Custom",0.745833333333333,0.718863752778336,481
12,"ACE",0.796680497925311,0.691966189491632,483
12,"SIMMAP",0.800829875518672,0.702406639004149,483
12,"SAASI",0.929460580912863,0.908014363498015,483
12,"SAASI_pars",0.91701244813278,0.82498392648652,483
12,"PastML",0.809128630705394,0.713525134705125,483
12,"TreeTime_1.0",0.91701244813278,0.827425593021863,483
12,"TreeTime_Custom",0.912863070539419,0.870670295677191,483
120,"ACE",0.725409836065574,0.645561259036205,489
120,"SIMMAP",0.754098360655738,0.666803278688525,489
120,"SAASI",0.918032786885246,0.892521917565664,489
120,"SAASI_pars",0.872950819672131,0.814343384434527,489
120,"PastML",0.774590163934426,0.731689581217635,489
120,"TreeTime_1.0",0.823770491803279,0.787653786393248,489
120,"TreeTime_Custom",0.84016393442623,0.817151765128055,489
121,"ACE",0.585253456221198,0.590935494162145,435
121,"SIMMAP",0.6036866359447,0.596635944700461,435
121,"SAASI",0.963133640552995,0.925108122272015,435
121,"SAASI_pars",0.940092165898618,0.7864956493818,435
121,"PastML",0.56221198156682,0.58543001464531,435
121,"TreeTime_1.0",0.824884792626728,0.783364544260242,435
121,"TreeTime_Custom",0.778801843317972,0.753944162086208,435
122,"ACE",0.66804979253112,0.615749729389106,483
122,"SIMMAP",0.697095435684647,0.62655601659751,483
122,"SAASI",0.908713692946058,0.891767404548536,483
122,"SAASI_pars",0.908713692946058,0.810170899847234,483
122,"PastML",0.676348547717842,0.625052127950989,483
122,"TreeTime_1.0",0.717842323651452,0.662520788655483,483
