"simulation","method","accuracy","prob_accuracy","tree_size"
136,"SAASI_pars",0.943396226415094,0.892070874019168,849
136,"PastML",0.80188679245283,0.767776807700792,849
136,"TreeTime_1.0",0.94811320754717,0.913160176654888,849
136,"TreeTime_Custom",0.950471698113208,0.925582430171302,849
137,"ACE",0.948529411764706,0.898642252150524,1089
137,"SIMMAP",0.954044117647059,0.901452205882353,1089
137,"SAASI",0.943014705882353,0.930598179158427,1089
137,"SAASI_pars",0.939338235294118,0.898553736728781,1089
137,"PastML",0.948529411764706,0.897533361029361,1089
137,"TreeTime_1.0",0.952205882352941,0.91773905817037,1089
137,"TreeTime_Custom",0.952205882352941,0.927984416177562,1089
138,"ACE",0.921428571428571,0.851365334426011,841
138,"SIMMAP",0.926190476190476,0.858333333333333,841
138,"SAASI",0.954761904761905,0.939745634294096,841
138,"SAASI_pars",0.954761904761905,0.89166168496751,841
138,"PastML",0.885714285714286,0.775623485771586,841
138,"TreeTime_1.0",0.947619047619048,0.90947806486398,841
138,"TreeTime_Custom",0.942857142857143,0.923675349236466,841
139,"ACE",0.954198473282443,0.873145825684492,787
139,"SIMMAP",0.956743002544529,0.872188295165394,787
139,"SAASI",0.966921119592875,0.950923053567777,787
139,"SAASI_pars",0.959287531806616,0.909871322136982,787
139,"PastML",0.921119592875318,0.764266369576603,787
139,"TreeTime_1.0",0.969465648854962,0.949736629331303,787
139,"TreeTime_Custom",0.972010178117048,0.957559564139551,787
140,"ACE",0.916455696202532,0.864824597269073,791
140,"SIMMAP",0.921518987341772,0.868481012658228,791
140,"SAASI",0.967088607594937,0.945800722625973,791
140,"SAASI_pars",0.941772151898734,0.896562591452356,791
140,"PastML",0.886075949367089,0.803904503244906,791
140,"TreeTime_1.0",0.924050632911392,0.881745327312842,791
140,"TreeTime_Custom",0.926582278481013,0.898004906317078,791
141,"ACE",0.927576601671309,0.886564666275096,719
141,"SIMMAP",0.927576601671309,0.885710306406685,719
141,"SAASI",0.96100278551532,0.944363380971415,719
141,"SAASI_pars",0.958217270194986,0.913588197301161,719
141,"PastML",0.924791086350975,0.85602227760073,719
141,"TreeTime_1.0",0.949860724233983,0.926555184855929,719
141,"TreeTime_Custom",0.949860724233983,0.930254174320245,719
142,"ACE",0.965442764578834,0.913769128160345,927
142,"SIMMAP",0.958963282937365,0.91451403887689,927
142,"SAASI",0.967602591792657,0.947302224288987,927
142,"SAASI_pars",0.967602591792657,0.920883371955847,927
142,"PastML",0.965442764578834,0.916697132600153,927
142,"TreeTime_1.0",0.965442764578834,0.930074767278933,927
142,"TreeTime_Custom",0.963282937365011,0.941183461326109,927
143,"ACE",0.93800539083558,0.893342073683169,743
143,"SIMMAP",0.940700808625337,0.893746630727763,743
143,"SAASI",0.956873315363881,0.93978373726667,743
143,"SAASI_pars",0.946091644204852,0.907494632620998,743
143,"PastML",0.935309973045822,0.859406696914487,743
143,"TreeTime_1.0",0.943396226415094,0.931265778846449,743
143,"TreeTime_Custom",0.948787061994609,0.934544714246663,743
144,"ACE",0.905128205128205,0.832606053884636,781
144,"SIMMAP",0.9,0.839025641025641,781
144,"SAASI",0.966666666666667,0.944013001355207,781
144,"SAASI_pars",0.948717948717949,0.893361186606415,781
144,"PastML",0.823076923076923,0.728619994406771,781
144,"TreeTime_1.0",0.923076923076923,0.856905918961381,781
144,"TreeTime_Custom",0.930769230769231,0.886346999641436,781
145,"ACE",0.900647948164147,0.865551280695825,927
145,"SIMMAP",0.898488120950324,0.864103671706263,927
145,"SAASI",0.939524838012959,0.918084415728111,927
145,"SAASI_pars",0.915766738660907,0.884025710778551,927
145,"PastML",0.900647948164147,0.861616458882718,927
145,"TreeTime_1.0",0.896328293736501,0.875626306195652,927
145,"TreeTime_Custom",0.900647948164147,0.883984366832083,927
146,"ACE",0.935632183908046,0.890874888008697,871
146,"SIMMAP",0.947126436781609,0.890781609195402,871
146,"SAASI",0.972413793103448,0.952381363260637,871
146,"SAASI_pars",0.963218390804598,0.920411695727583,871
146,"PastML",0.903448275862069,0.839941497868755,871
146,"TreeTime_1.0",0.951724137931034,0.907376619350249,871
